시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
46130,1840,1,0,64,전라남도,여수시,46130116.0,남산동,4646174,남산남1길,남산동 95전,남산동 28-5대,127.731819713,34.7312154906
46130,2127,1,0,79,전라남도,여수시,46130150.0,상암동,4646490,상암9길,상암동 886-1도,상암동 1145-2전,127.7395235155,34.834071107199996
46130,2630,1,0,91,전라남도,여수시,46130310.0,소라면,3282016,도원로,소라면 죽림리 650-17도,학동 67-12대,127.63155594959998,34.7607741406
46130,2816,1,0,93,전라남도,여수시,46130151.0,호명동,4646973,호명1길,호명동 1577-10도,호명동 1735-1전,127.7130011048,34.7930601208
46130,2934,1,0,94,전라남도,여수시,46130330.0,화양면,3282043,소호로,화양면 용주리 산175-1도,학동 111-2대,127.6227557081,34.717764006799996
46130,3571,1,0,111,전라남도,여수시,46130123.0,둔덕동,3282022,만성로,둔덕동 485-9대,만흥동 356-1도,127.69620769459999,34.7689265284
46130,3906,1,0,115,전라남도,여수시,46130126.0,덕충동,3282024,망양로,덕충동 718-1,상암동 1243-2도,127.7487578268,34.7567883543
46130,4134,458,0,115,전라남도,여수시,46130124.0,오천동,3282024,망양로,덕충동 718-1,상암동 1243-2도,127.750589651,34.7866937775
46130,4264,717,0,115,전라남도,여수시,46130149.0,신덕동,3282024,망양로,덕충동 718-1,상암동 1243-2도,127.7640404724,34.8039263276
46130,5338,168,0,131,전라남도,여수시,46130121.0,오림동,3282027,문수로,여서동 490-2대,오림동 396-24도,127.7109241125,34.758715069000004
46130,5630,241,0,142,전라남도,여수시,46130129.0,학용동,3282046,쌍봉로,선원동 138-3대,둔덕동 477-5대,127.6821183758,34.7641522721
46130,5982,1,0,156,전라남도,여수시,46130138.0,주삼동,4646423,봉계1길,주삼동 232-6도,봉계동 378-1대,127.6641264226,34.7896499247
46130,6726,814,0,172,전라남도,여수시,46130148.0,낙포동,3282037,상암로,봉계동 33-2도,월내동 4-7장,127.74269731860001,34.8389566979
46130,6804,969,0,172,전라남도,여수시,46130146.0,월내동,3282037,상암로,봉계동 33-2도,월내동 4-7장,127.74512762139999,34.8478176411
46130,9237,183,0,266,전라남도,여수시,46130142.0,월하동,3282058,여수산단로,봉계동 763도,낙포동 197-4도,127.6628232234,34.8001610165
46130,9292,293,0,266,전라남도,여수시,46130143.0,평여동,3282058,여수산단로,봉계동 763도,낙포동 197-4도,127.66969793610001,34.808247417
46130,9399,507,0,266,전라남도,여수시,46130144.0,중흥동,3282058,여수산단로,봉계동 763도,낙포동 197-4도,127.68244454020001,34.8233361027
46130,9586,881,0,266,전라남도,여수시,46130145.0,적량동,3282058,여수산단로,봉계동 763도,낙포동 197-4도,127.70115502709999,34.8517014383
46130,13726,1,0,405,전라남도,여수시,46130141.0,화치동,4646965,해지길,화치동 산183-11도,해산동 384-9도,127.6486147058,34.8002380947
46130,20043,1,0,682,전라남도,여수시,46130250.0,돌산읍,4646355,무술목길,돌산읍 평사리 1261-1도,돌산읍 평사리 1287-4전,127.77521416399999,34.6856426136
46130,27825,1,0,1864,전라남도,여수시,46130320.0,율촌면,4646935,하평길,율촌면 가장리 727-2도,율촌면 가장리 1153-1대,127.55635714799999,34.8494451837
46130,58922,5,0,3385,전라남도,여수시,46130360.0,삼산면,3282099,동도로,삼산면 동도리 614-1,삼산면 동도리 1530,127.303107251,34.058093989899994
46130,61180,23,0,3478,전라남도,여수시,46130350.0,화정면,3282096,백야로,화정면 백야리393-6,화정면 백야리 22-14,127.6362436518,34.6241821515
46130,65054,1,0,3698,전라남도,여수시,46130340.0,남면,3282094,유송로,남면 유송리 1073-4,남면 유송리 1252,127.7078756435,34.5368549245
46150,1,1,0,1,전라남도,순천시,46150350.0,주암면,4649335,문길장동길,문길리 170-2 도,문길리 193-1 전,127.2690635127,35.0483827816
46150,18,1,0,2,전라남도,순천시,46150119.0,장천동,4649892,장명1길,장천동 56-13대,장천동 246-2대,127.4848547176,34.9512469808
46150,98,10,1,7,전라남도,순천시,46150370.0,외서면,4649898,장산영내길,장산리 75-7답,장산리 58전,127.286438102,34.9049362633
46150,143,1,0,9,전라남도,순천시,46150340.0,월등면,4649899,장선길,농선리 144-8답,농선리 479-1대,127.4111633246,35.100858448000004
46150,169,1,0,10,전라남도,순천시,46150133.0,조례동,4649900,장선배기1길,조례동 1595-3대,조례동 1588-5대,127.52260930790001,34.952809149400004
46150,279,101,0,13,전라남도,순천시,46150310.0,해룡면,4649902,장선배기길,조례동 478-11전,해룡면 상삼리 698,127.5299655141,34.9513894276
46150,332,44,0,14,전라남도,순천시,46150320.0,서면,4649904,장승골길,비월리 46-4대,비월리 152답,127.4608309142,35.0090978005
46150,378,84,0,16,전라남도,순천시,46150360.0,송광면,4649906,장안길,장안리 1846-5답,장안리 95 답,127.28678275709999,34.9636113959
46150,574,93,0,18,전라남도,순천시,46150114.0,연향동,4649907,장자보1길,연향동 1395-27대,연향동 1351-1대,127.51682724770001,34.9493348429
46150,923,701,1,29,전라남도,순천시,46150115.0,풍덕동,3283001,강변로,교량동699-3천,가곡 삼거리(가곡동 937-20도),127.4937072311,34.9487280877
46150,934,1,0,30,전라남도,순천시,46150330.0,황전면,4649919,장터길,선변리 739-2대,선변리 산1-3임,127.4568041478,35.1605920316
46150,970,1,0,31,전라남도,순천시,46150117.0,인제동,4649924,장평1길,인제동 372-1대,인제동 373대,127.49394014379999,34.9453676476
46150,1011,109,0,33,전라남도,순천시,46150116.0,남정동,4649926,장평3길,풍덕동 1273-9대,남정동 554대,127.49193142370001,34.942722066
46150,1286,21,0,42,전라남도,순천시,46150390.0,별량면,4649934,장학길,송학리 553-1답,송학리 산106-2임,127.443544045,34.8869410809
46150,1306,1,0,43,전라남도,순천시,46150380.0,낙안면,4649935,재궁길,신기리 438-5잡,신기리 86대,127.34971937780001,34.8736942619
46150,1348,7,0,46,전라남도,순천시,46150250.0,승주읍,4649939,저동길,남강리 846전,남강리 1213답,127.34917219479999,34.972781168800005
46150,1461,1,0,48,전라남도,순천시,46150118.0,저전동,4649940,저전1길,저전동 35-1도,저전동 121-2도,127.4836381542,34.9523410794
46150,1815,7,0,60,전라남도,순천시,46150127.0,덕월동,4649952,제일대학길,덕월동 459-2전,덕월동 557-1학,127.4885282113,34.9341979824
46150,2305,18,0,72,전라남도,순천시,46150109.0,가곡동,4649964,조비길,가곡동 425대,석현동 806전,127.4805733127,34.9710117373
46150,3824,17,0,78,전라남도,순천시,46150111.0,조곡동,4649972,죽도봉길,조곡동 59-5대,조곡동 507-12도,127.4977757192,34.9518128498
46150,4449,87,0,102,전라남도,순천시,46150103.0,영동,3283038,중앙로,순고오거리(저전동239도),선평삼거리(가곡동940도),127.4839018511,34.9534445867
46150,4455,99,0,102,전라남도,순천시,46150105.0,행동,3283038,중앙로,순고오거리(저전동239도),선평삼거리(가곡동940도),127.48396468959999,34.9545252048
46150,4457,104,0,102,전라남도,순천시,46150120.0,남내동,3283038,중앙로,순고오거리(저전동239도),선평삼거리(가곡동940도),127.48402593590001,34.9548833257
46150,4471,131,0,102,전라남도,순천시,46150107.0,매곡동,3283038,중앙로,순고오거리(저전동239도),선평삼거리(가곡동940도),127.4841518776,34.9574052313
46150,4684,45,0,103,전라남도,순천시,46150122.0,동외동,4650002,중앙시장길,남내동 77-1대,남내동 124-1대,127.486364544,34.953252820100005
46150,4728,15,0,104,전라남도,순천시,46150113.0,덕암동,4650003,중앙초등1길,풍덕동 866-6대,덕암동 225-1대,127.50273205219999,34.9434167923
46150,4943,11,0,113,전라남도,순천시,46150400.0,상사면,4650011,중현길,초곡리 산108-3임,초곡리 43전,127.4164202008,34.9023993897
